date,cases,deaths
01/22/2020,0,0
01/23/2020,0,0
01/24/2020,0,0
01/25/2020,0,0
01/26/2020,0,0
01/27/2020,0,0
01/28/2020,0,0
01/29/2020,0,0
01/30/2020,0,0
01/31/2020,0,0
02/01/2020,0,0
02/02/2020,0,0
02/03/2020,0,0
02/04/2020,0,0
02/05/2020,0,0
02/06/2020,0,0
02/07/2020,0,0
02/08/2020,0,0
02/09/2020,0,0
02/10/2020,0,0
02/11/2020,0,0
02/12/2020,0,0
02/13/2020,0,0
02/14/2020,0,0
02/15/2020,0,0
02/16/2020,0,0
02/17/2020,0,0
02/18/2020,0,0
02/19/2020,0,0
02/20/2020,0,0
02/21/2020,0,0
02/22/2020,0,0
02/23/2020,0,0
02/24/2020,0,0
02/25/2020,0,0
02/26/2020,0,0
02/27/2020,0,0
02/28/2020,0,0
02/29/2020,0,0
03/01/2020,0,0
03/02/2020,0,0
03/03/2020,0,0
03/04/2020,1,0
03/05/2020,11,0
03/06/2020,9,0
03/07/2020,7,0
03/08/2020,0,0
03/09/2020,97,0
03/10/2020,12,0
03/11/2020,27,0
03/12/2020,66,0
03/13/2020,37,0
03/14/2020,44,0
03/15/2020,89,1
03/16/2020,87,0
03/17/2020,243,0
03/18/2020,313,0
03/19/2020,640,4
03/20/2020,1011,10
03/21/2020,1451,6
03/22/2020,1978,3
03/23/2020,2447,7
03/24/2020,2191,8
03/25/2020,2194,13
03/26/2020,2910,7
03/27/2020,3372,37
03/28/2020,3315,11
03/29/2020,3193,12
03/30/2020,3299,36
03/31/2020,3612,56
04/01/2020,3617,64
04/02/2020,4299,120
04/03/2020,5132,113
04/04/2020,4694,58
04/05/2020,4082,451
04/06/2020,7417,361
04/07/2020,7417,361
04/08/2020,5616,167
04/09/2020,5397,242
04/10/2020,5218,237
04/11/2020,4022,236
04/12/2020,3336,183
04/13/2020,2782,218
04/14/2020,3475,221
04/15/2020,3734,199
04/16/2020,3661,166
04/17/2020,3152,313
04/18/2020,3258,2
04/19/2020,2802,225
04/20/2020,2356,153
04/21/2020,1659,167
04/22/2020,2419,153
04/23/2020,2821,147
04/24/2020,3512,145
04/25/2020,5913,163
04/26/2020,2757,116
04/27/2020,1720,116
04/28/2020,1261,113
04/29/2020,2082,110
04/30/2020,2044,175
05/01/2020,1730,97
05/02/2020,1999,102
05/03/2020,1461,107
05/04/2020,1218,157
05/05/2020,1016,99
05/06/2020,1309,575
05/07/2020,1626,98
05/08/2020,1371,77
05/09/2020,1209,109
05/10/2020,1145,101
05/11/2020,720,80
05/12/2020,664,98
05/13/2020,1049,87
05/14/2020,1095,79
05/15/2020,950,68
05/16/2020,1176,98
05/17/2020,896,71
05/18/2020,613,48
05/19/2020,883,54
05/20/2020,796,56
05/21/2020,963,54
05/22/2020,887,56
05/23/2020,990,46
05/24/2020,732,68
05/25/2020,641,49
05/26/2020,502,48
05/27/2020,462,50
05/28/2020,685,46
05/29/2020,603,35
05/30/2020,624,42
05/31/2020,558,30
06/01/2020,480,29
06/02/2020,716,39
06/03/2020,550,32
06/04/2020,514,29
06/05/2020,541,25
06/06/2020,537,24
06/07/2020,323,31
06/08/2020,318,23
06/09/2020,343,29
06/10/2020,249,25
06/11/2020,337,22
06/12/2020,385,30
06/13/2020,377,21
06/14/2020,309,13
06/15/2020,239,19
06/16/2020,299,17
06/17/2020,217,13
06/18/2020,299,17
06/19/2020,386,12
06/20/2020,325,15
06/21/2020,279,11
06/22/2020,257,7
06/23/2020,282,14
06/24/2020,289,9
06/25/2020,398,9
06/26/2020,434,9
06/27/2020,339,10
06/28/2020,300,3
06/29/2020,202,6
06/30/2020,284,7
07/01/2020,329,7
07/02/2020,448,4
07/03/2020,458,5
07/04/2020,358,5
07/05/2020,294,4
07/06/2020,271,5
07/07/2020,316,6
07/08/2020,403,5
07/09/2020,309,11
07/10/2020,435,5
07/11/2020,423,4
07/12/2020,336,5
07/13/2020,307,6
07/14/2020,597,4
07/15/2020,465,6
07/16/2020,384,0
07/17/2020,409,8
07/18/2020,367,9
07/19/2020,204,8
07/20/2020,235,5
07/21/2020,464,2
07/22/2020,355,6
07/23/2020,423,7
07/24/2020,393,6
07/25/2020,410,6
07/26/2020,307,1
07/27/2020,318,2
07/28/2020,336,4
07/29/2020,413,4
07/30/2020,465,7
07/31/2020,359,4
08/01/2020,441,13
08/02/2020,268,6
08/03/2020,304,3
08/04/2020,430,3
08/05/2020,335,2
08/06/2020,370,3
08/07/2020,370,3
08/08/2020,377,1
08/09/2020,267,4
08/10/2020,239,1
08/11/2020,393,5
08/12/2020,314,2
08/13/2020,299,7
08/14/2020,360,3
08/15/2020,352,1
08/16/2020,300,3
08/17/2020,173,5
08/18/2020,371,4
08/19/2020,358,4
08/20/2020,328,4
08/21/2020,423,3
08/22/2020,386,3
08/23/2020,293,6
08/24/2020,194,3
08/25/2020,398,2
08/26/2020,306,1
08/27/2020,476,3
08/28/2020,366,2
08/29/2020,357,4
08/30/2020,417,6
08/31/2020,388,1
09/01/2020,449,2
09/02/2020,444,3
09/03/2020,585,6
09/04/2020,539,0
09/05/2020,522,1
09/06/2020,434,6
09/07/2020,317,0
09/08/2020,335,4
09/09/2020,363,2
09/10/2020,421,7
09/11/2020,611,3
09/12/2020,543,2
09/13/2020,481,4
09/14/2020,318,3
09/15/2020,460,8
09/16/2020,400,3
09/17/2020,563,2
09/18/2020,442,5
09/19/2020,494,1
09/20/2020,464,1
09/21/2020,313,0
09/22/2020,403,1
09/23/2020,385,1
09/24/2020,531,0
09/25/2020,537,5
09/26/2020,576,2
09/27/2020,484,3
09/28/2020,455,7
09/29/2020,666,2
09/30/2020,554,5
10/01/2020,849,5
10/02/2020,999,4
10/03/2020,1019,7
10/04/2020,690,11
10/05/2020,465,5
10/06/2020,826,4
10/07/2020,812,7
10/08/2020,1140,8
10/09/2020,968,3
10/10/2020,872,5
10/11/2020,674,3
10/12/2020,636,10
10/13/2020,848,4
10/14/2020,768,1
10/15/2020,952,9
10/16/2020,1047,9
10/17/2020,978,6
10/18/2020,778,3
10/19/2020,579,10
10/20/2020,765,9
10/21/2020,1187,2
10/22/2020,1098,11
10/23/2020,1066,8
10/24/2020,1306,12
10/25/2020,979,6
10/26/2020,767,12
10/27/2020,1260,11
10/28/2020,1194,13
10/29/2020,1439,12
10/30/2020,1352,8
10/31/2020,1350,4
11/01/2020,1309,10
11/02/2020,992,9
11/03/2020,1519,8
11/04/2020,1331,11
11/05/2020,1930,12
11/06/2020,2006,13
11/07/2020,2422,14
11/08/2020,2037,13
11/09/2020,1988,18
11/10/2020,2757,28
11/11/2020,3089,16
11/12/2020,3135,23
11/13/2020,3575,19